width	height	ids_id
1333.0	2000.0	SG-2011-0516A-FAL1-HL-000003
1334.0	2000.0	SG-2011-0516A-SPR1-HL
1334.0	2000.0	SG-2011-0516A-SUM1-HL
1333.0	2000.0	SG-2011-0516A-BAR1-HL
2000.0	1333.0	SG-2011-0516A-BAR2-HL
2000.0	1333.0	SG-2011-0569A-LEF2-HL-000002
1333.0	2000.0	SG-2011-0569A-SUM1-HL
1333.0	2000.0	SG-2011-0569A-FAL1-HL-000002
1333.0	2000.0	SG-2011-0569A-WIN-HL
1333.0	2000.0	SG-2011-0569A-SPR1-HL
2000.0	1333.0	SG-2011-0569A-BUD2-HL
1333.0	1999.0	SG-2011-0569A-FLO2-HL
2000.0	1333.0	SG-2011-0569A-LEF1-HL-000002
1334.0	2000.0	SG-2011-0569A-FRU-HL-000002
2000.0	1333.0	SG-2011-0569A-LEB-HL-000002
2000.0	1333.0	SG-2011-0569A-BUD1-HL
2000.0	1333.0	SG-2011-0569A-BUD-HL-000002
2000.0	1333.0	SG-2011-0569A-FLO1-HL
2000.0	1333.0	SG-2011-0569A-SNP2-HL
1333.0	1999.0	SG-2011-0569A-STE6-HL
2000.0	1333.0	SG-2011-0569A-STE3-HL-000002
2000.0	1334.0	SG-2011-0569A-STE2-HL-000002
2000.0	1334.0	SG-2011-0569A-STE4-HL-000002
2000.0	1333.0	SG-2011-0569A-BAR2-HL
1333.0	2000.0	SG-2011-0569A-BAR1-HL
1333.0	1999.0	SG-2011-1259A-SPR1-HL
1333.0	1999.0	SG-2011-1259A-SUM1-HL
1333.0	2000.0	SG-2011-1259A-FAL1-HL
1333.0	2000.0	SG-2011-1259A-WIN1-HL
1334.0	2000.0	SG-2011-1259A-BAR1-HL
1333.0	2000.0	SG-2011-1257A-SUM1-HL
1333.0	2000.0	SG-2011-1257A-FAL1-HL-000002
1333.0	1999.0	SG-2011-1257A-SPR1-HL
1333.0	2000.0	SG-2011-1257A-WIN1-HL
1333.0	2000.0	SG-2014-1217A-LEF1-HL
2000.0	1333.0	SG-2014-1217A-SNP1-HL
1334.0	2000.0	SG-2014-1217A-LEB1-HL
1333.0	1999.0	SG-2014-1217A-FAL1-HL
1333.0	1999.0	SG-2014-1217A-SUM1-HL
1333.0	1999.0	SG-2014-1217A-WIN1-HL
1333.0	2000.0	SG-2014-1217A-STE2-HL
1333.0	1999.0	SG-2014-1217A-STE1-HL
1333.0	2000.0	SG-2014-1219A-FAL1-HL
1333.0	1999.0	SG-2014-1219A-SUM1-HL
1333.0	2000.0	SG-2014-1219A-WIN1-HL
1334.0	2000.0	SG-2014-1219A-BUD1-HL
1333.0	2000.0	SG-2014-1216A-BAR1-HL
1333.0	2000.0	SG-2014-1216A-BAR2-HL
1333.0	2000.0	SG-2014-1216A-SUM1-HL
1334.0	2000.0	SG-2014-1216A-FAL1-HL
1333.0	1999.0	SG-2014-1216A-WIN1-HL
1333.0	1999.0	SG-2014-1220A-SUM1-HL
1334.0	2000.0	SG-2014-1220A-FAL1-HL
1333.0	2000.0	SG-2014-1220A-WIN1-HL
2000.0	1333.0	SG-2018-0758A-LEF1-HL-000002
1333.0	2000.0	SG-2018-0758A-SUM1-HL
1333.0	1999.0	SG-2018-0758A-FAL1-HL
1334.0	2000.0	SG-2018-0758A-WIN-HL
1334.0	2000.0	SG-2018-0758A-SPR1-HL
1999.0	1333.0	SG-2018-0758A-BUD1-HL
2000.0	1334.0	SG-2018-0758A-FLO1-HL
1999.0	1333.0	SG-2018-0758A-FLO2-HL
2000.0	1333.0	SG-2018-0758A-LEB1-HL
2000.0	1333.0	SG-2018-0758A-SNP1-HL
2000.0	1333.0	SG-2018-0758A-SNP2-HL
2000.0	1333.0	SG-2018-0758A-STE2-HL
1333.0	1999.0	SG-2018-0758A-STE1-HL
1333.0	2000.0	SG-2018-0758A-BAR1-HL
2000.0	1333.0	SG-2011-0438A-LEF1-HL
1333.0	2000.0	SG-2011-0438A-SUM1-HL
1333.0	1999.0	SG-2011-0438A-WIN1-HL
1333.0	2000.0	SG-2011-0438A-BAR1-HL
1999.0	1333.0	SG-2011-0438A-BUD1-HL
1333.0	2000.0	SG-2011-0438A-STE1-HL
1333.0	2000.0	SG-2011-0438A-STE2-HL
1333.0	2000.0	SG-2011-0438A-STE3-HL
2000.0	1333.0	SG-2011-0438A-MISC1-HL
1333.0	1999.0	SG-2011-0787A-WIN1-HL
1333.0	2000.0	SG-2011-0787A-FAL1-HL
1333.0	2000.0	SG-2011-0777A-FLO1-HL
1334.0	2000.0	SG-2011-0777A-SUM1-HL
		SG-2011-0777A-FAL1-HL
1333.0	2000.0	SG-2011-0777A-WIN1-HL
1333.0	1999.0	SG-2011-0777A-SPR1-HL
2000.0	1333.0	SG-2011-0777A-FLO2-HL
2000.0	1333.0	SG-2011-0777A-FLO3-HL
2000.0	1335.0	SG-2011-0777A-203
2000.0	1335.0	SG-2011-0777A-204
2000.0	1333.0	SG-2011-0777A-BAR2-HL
1333.0	2000.0	SG-2011-0777A-BAR1-HL
1334.0	2000.0	SG-2011-1244A-FLO2-HL
2000.0	1333.0	SG-2011-1244A-FLO1-HL
1999.0	1333.0	SG-2011-1244A-STE2-HL
1333.0	2000.0	SG-2011-1244A-BUD2-HL
