object_id	ids_id	image_url	image_label	image_category
edanmdm-ofeo-sg_2011-0516A	SG-2011-0516A-FAL1-HL-000003	https://ids.si.edu/ids/deliveryService?id=SG-2011-0516A-FAL1-HL-000003	FAL1	FAL
edanmdm-ofeo-sg_2011-0516A	SG-2011-0516A-SPR1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0516A-SPR1-HL	SPR1	SPR
edanmdm-ofeo-sg_2011-0516A	SG-2011-0516A-SUM1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0516A-SUM1-HL	SUM1	SUM
edanmdm-ofeo-sg_2011-0516A	SG-2011-0516A-BAR1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0516A-BAR1-HL	BAR1	BAR
edanmdm-ofeo-sg_2011-0516A	SG-2011-0516A-BAR2-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0516A-BAR2-HL	BAR2	BAR
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-LEF2-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-LEF2-HL-000002	LEF2	LEF
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-SUM1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-SUM1-HL	SUM1	SUM
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-FAL1-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-FAL1-HL-000002	FAL1	FAL
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-WIN-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-WIN-HL	WIN	WIN
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-SPR1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-SPR1-HL	SPR1	SPR
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-BUD2-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-BUD2-HL	BUD2	BUD
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-FLO2-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-FLO2-HL	FLO2	FLO
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-LEF1-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-LEF1-HL-000002	LEF1	LEF
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-FRU-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-FRU-HL-000002	FRU	FRU
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-LEB-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-LEB-HL-000002	LEB	LEB
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-BUD1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-BUD1-HL	BUD1	BUD
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-BUD-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-BUD-HL-000002	BUD	BUD
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-FLO1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-FLO1-HL	FLO1	FLO
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-SNP2-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-SNP2-HL	SNP2	SNP
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-STE6-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-STE6-HL	STE6	STE
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-STE3-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-STE3-HL-000002	STE3	STE
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-STE2-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-STE2-HL-000002	STE2	STE
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-STE4-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-STE4-HL-000002	STE4	STE
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-BAR2-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-BAR2-HL	BAR2	BAR
edanmdm-ofeo-sg_2011-0569A	SG-2011-0569A-BAR1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-0569A-BAR1-HL	BAR1	BAR
edanmdm-ofeo-sg_2011-1259A	SG-2011-1259A-SPR1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1259A-SPR1-HL	SPR1	SPR
edanmdm-ofeo-sg_2011-1259A	SG-2011-1259A-SUM1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1259A-SUM1-HL	SUM1	SUM
edanmdm-ofeo-sg_2011-1259A	SG-2011-1259A-FAL1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1259A-FAL1-HL	FAL1	FAL
edanmdm-ofeo-sg_2011-1259A	SG-2011-1259A-WIN1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1259A-WIN1-HL	WIN1	WIN
edanmdm-ofeo-sg_2011-1259A	SG-2011-1259A-BAR1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1259A-BAR1-HL	BAR1	BAR
edanmdm-ofeo-sg_2011-1257A	SG-2011-1257A-SUM1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1257A-SUM1-HL	SUM1	SUM
edanmdm-ofeo-sg_2011-1257A	SG-2011-1257A-FAL1-HL-000002	https://ids.si.edu/ids/deliveryService?id=SG-2011-1257A-FAL1-HL-000002	FAL1	FAL
edanmdm-ofeo-sg_2011-1257A	SG-2011-1257A-SPR1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1257A-SPR1-HL	SPR1	SPR
edanmdm-ofeo-sg_2011-1257A	SG-2011-1257A-WIN1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2011-1257A-WIN1-HL	WIN1	WIN
edanmdm-ofeo-sg_2014-1217A	SG-2014-1217A-LEF1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2014-1217A-LEF1-HL	LEF1	LEF
edanmdm-ofeo-sg_2014-1217A	SG-2014-1217A-SNP1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2014-1217A-SNP1-HL	SNP1	SNP
edanmdm-ofeo-sg_2014-1217A	SG-2014-1217A-LEB1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2014-1217A-LEB1-HL	LEB1	LEB
edanmdm-ofeo-sg_2014-1217A	SG-2014-1217A-FAL1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2014-1217A-FAL1-HL	FAL1	FAL
edanmdm-ofeo-sg_2014-1217A	SG-2014-1217A-SUM1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2014-1217A-SUM1-HL	SUM1	SUM
edanmdm-ofeo-sg_2014-1217A	SG-2014-1217A-WIN1-HL	https://ids.si.edu/ids/deliveryService?id=SG-2014-1217A-WIN1-HL	WIN1	WIN
edanmdm-ofeo-sg_2014-1217A	SG-2014-1217A-STE2-HL	https://ids.si.edu/ids/deliveryService?id=SG-2014-1217A-STE2-HL	STE2	STE
