accession_number	scientific_name	common_name	building	life_form	media_count
2011-0516A	Prunus subhirtella 'Pendula'	Weeping Higan Cherry		Deciduous tree	5
2011-0569A	Tilia cordata 'June Bride'	June Bride Littleleaf Linden		Deciduous tree	20
2011-1259A	Prunus subhirtella 'Pendula'	Weeping Higan Cherry	NASM	Deciduous tree	5
2011-1257A	Prunus subhirtella 'Pendula'	Weeping Higan Cherry	NASM	Deciduous tree	4
2014-1217A	Betula papyrifera 'Renci' Renaissance Reflection	Paper birch,White birch,Canoe birch,Renaissance Reflection Birch	NMNH	Deciduous tree	8
2014-1219A	Betula papyrifera 'Renci' Renaissance Reflection	Paper birch,White birch,Canoe birch,Renaissance Reflection Birch	NMNH	Deciduous tree	4
2014-1216A	Betula papyrifera 'Renci' Renaissance Reflection	Paper birch,White birch,Canoe birch,Renaissance Reflection Birch	NMNH	Deciduous tree	5
2014-1220A	Betula papyrifera 'Renci' Renaissance Reflection	Paper birch,White birch,Canoe birch,Renaissance Reflection Birch	NMNH	Deciduous tree	3
2018-0758A	Gleditsia triacanthos var. inermis 'Skycole' Skyline	Skyline Thornless Honeylocust	HMSG	Deciduous tree	14
2011-0438A	Prunus sargentii	North Japanese Hill Cherry,Sargent Cherry	NPG	Deciduous tree	9
2011-0787A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry	NMAH	Deciduous tree	2
2011-0777A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry	NMAH	Deciduous tree	11
2011-1244A	Prunus mume 'Peggy Clarke'	Japanese Apricot cultivar	NASM	Deciduous tree	16
2011-1066A	Prunus serotina	Mountain Black Cherry,Wild Black Cherry,Rum Cherry,Wild Cherry,Black Cherry	NMNH	Deciduous tree	17
2011-1431A	Populus grandidentata	Bigtooth Aspen	NMAI DC	Deciduous tree	10
2011-2668A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	2
2011-2712A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	2
2011-2708A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	2
